  group,name,province,publish_date,short_bio,title,url
district leader,侯君舒,北京,"（人民网资料 截至2018年1月）
","

			　　侯君舒，男，汉族，1963年6月生，河南宁陵人，1985年7月入党，1985年7月参加工作，在职研究生毕业（中国人民大学行政管理专业），经济学硕士、管理学硕士，副教授。",北京市人大常委会副主任，昌平区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4037.htm
district leader,周立云,北京,"（人民网资料 截至2017年6月）
","

			　　周立云，男，1963年2月出生，汉族，湖南沅江人，研究生，经济学博士，研究员，1984年4月入党，1984年7月参加工作。",北京市大兴区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16808.htm
district leader,常卫,北京,"（人民网资料 截至2017年9月）
","

			　　常卫，男，1966年9月生，汉族，河南偃师人，1985年12月入党，1991年8月参加工作，研究生毕业（中央党校科学社会主义专业），法学硕士，在职研究生(北京工业大学管理科学与工程专业)，管理学博士。",北京市怀柔区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4042.htm
district leader,王成国,北京,"（人民网资料 截至2015年9月）
","

			　　王成国，男，1966年2月生，汉族，山东莱芜人，1987年12月入党，1989年7月参加工作，中国政法大学法律专业大学毕业，在职研究生（中国社会科学院研究生院马克思主义哲学专业），哲学博士，高级政工师。",北京市平谷区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15105.htm
district leader,夏林茂,北京,"（人民网资料 截至2017年5月）
","

			　　夏林茂，男，汉族，1970年5月生，江苏建湖人，中共党员，1993年8月参加工作，清华大学建筑学专业毕业，博士研究生。",北京市密云区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4028.htm
district leader,李志军,北京,"（人民网资料 截至2015年12月）
","

			　　李志军，男，汉族，1969年10月出生，河南林州人。1991年7月参加工作，2001年6月加入中国共产党，在职研究生（财政部财政科学研究所财政理论与政策专业），经济学博士，高级工程师。",北京市延庆区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4047.htm
district leader,金晖,北京,"
","

			　　金晖，女，汉族，1969年5月生，浙江绍兴人，1991年5月加入中国共产党，1992年7月参加工作，在职研究生毕业（北京林业大学生态学专业），理学博士，讲师。",北京市东城区代区长,http://ldzl.people.com.cn/dfzlk/front/personPage18813.htm
district leader,王少峰,北京,"（人民网资料 截至2013年6月）
","

			　　王少峰，男，汉族，1970年11月出生，山东省日照市人，1990年7月加入中国共产党，1993年7月参加工作，在职研究生文化程度(北京大学法律史专业)，法学硕士，大学讲师，高级政工师。",北京市西城区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4020.htm
district leader,文献,北京,"（人民网资料 截至2018年6月）
","

			　　文献，男，汉族，1969年4月出生，江西萍乡人，1998年2月入党，1993年7月参加工作，冶金工业部长沙矿冶研究院有色金属冶金专业研究生毕业，工学硕士，在职研究生（北京工业大学管理科学与工程专业），管理学博士，高级工程师。现任中共北京市朝阳区委副书记，区人民政府党组书记、副区长、代区长。",北京市朝阳区区长（代）,http://ldzl.people.com.cn/dfzlk/front/personPage16780.htm
district leader,戴彬彬,北京,"（人民网资料 截至2017年11月）
","

			　　戴彬彬，男，汉族，1968年1月生，江苏昆山人，1988年5月加入中国共产党，1990年8月参加工作，清华大学供暖通风与空气调节专业大学毕业，工商管理硕士，教授级高级工程师。",北京市海淀区区长,http://ldzl.people.com.cn/dfzlk/front/personPage17171.htm
district leader,王力军,北京,"（人民网资料 截至2018年4月）
","

			　　王力军，男，汉族，1968年7月出生，河北新城人，1994年8月北京师范大学政治经济学专业研究生毕业，经济学博士（北京师范大学世界经济专业），讲师。",北京市丰台区代区长,http://ldzl.people.com.cn/dfzlk/front/personPage18808.htm
district leader,陈之常,北京,"2018年6月任石景山区委副书记、区政府党组书记、代区长。
","

			　　陈之常，男，汉族，1974年12月生，四川大竹人，1996年7月参加工作，1996年5月加入中国共产党，大学毕业（中国政法大学行政管理学专业），法学学士，高级政工师。",北京市石景山区区长（代）,http://ldzl.people.com.cn/dfzlk/front/personPage18843.htm
district leader,付兆庚,北京,"（人民网资料 截至2017年1月）
","

			　　付兆庚，男，汉族，1964年8月出生，北京人，1986年3月加入中国共产党，1983年10月参加工作，中央党校研究生学历，高级政工师。",北京市门头沟区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15594.htm
