additional_info,current_status,name,picture_url,publish_date,short_bio,url,gender,ethnic,dob_y,dob_m,age,join_work_y,working_y,pob,pob_p,join_party_y,edu_dg,edu_am,edu_uni,edu_major
"['中共第十四届、十五届中央候补委员', '十六届、十七届、十八届、十九届中央委员', '十八届、十九届中央政治局委员十七届一中全会任中共中央军事委员会委员第十一届全国人大第一次会议任命为中华人民共和国中央军事委员会委员十七届七中全会增补为中共中央军事委员会副主席十八届一中全会任中共中央军事委员会副主席第十二届全国人大第一次会议任命为中华人民共和国中央军事委员会副主席十九届一中全会任中共中央军事委员会副主席第十三届全国人大第一次会议任命为中华人民共和国中央军事委员会副主席']","['中共十九届中央政治局委员', '中共中央军事委员会副主席', '中华人民共和国中央军事委员会副主席', '空军上将军衔']",许其亮,http://www.people.com.cn/mediafile/pic/20171025/6/16621675861105153350.jpg,"
	（中国共产党新闻网资料，2018年3月）",许其亮，男，汉族，1950年3月生，山东临朐人，1966年7月入伍，1967年7月加入中国共产党，空军第五航空学校毕业，大专学历。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608814.html,男,汉族,1950,3,68,,,山东临朐,山东,1967.0,大专,空军第五航空学校,空军第五航空学校,
"['中共第十五届、十六届中央候补委员', '十七届、十八届、十九届中央委员', '十八届、十九届中央政治局委员']","['中共十九届中央政治局委员', '国务院副总理、党组成员']",孙春兰,http://www.people.com.cn/mediafile/pic/20180320/79/12653523390230986099.jpg,"
	（中国共产党新闻网资料，2018年3月）",孙春兰，女，汉族，1950年5月生，河北饶阳人，1969年11月参加工作，1973年5月加入中国共产党，中央党校研究生学历。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608815.html,女,汉族,1950,5,68,1969.0,49.0,河北饶阳,河北,1973.0,研究生,中央党校,中央党校,
"['第十七届、十八届中央候补委员', '十九届中央委员', '十九届中央政治局委员']","['中央政治局委员', '广东省委书记']",李希,http://www.people.com.cn/mediafile/pic/20171025/16/15096818663673336892.jpg,"
	（中国共产党新闻网资料，2017年10月）",李希，男，汉族，1956年10月生，甘肃两当人，1975年7月参加工作，1982年1月加入中国共产党，西北师范学院中文系汉语言文学专业毕业，大学学历，高级管理人员工商管理硕士学位。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608816.html,男,汉族,1956,10,62,1975.0,43.0,甘肃两当,甘肃,1982.0,大学,西北师范学院中文系汉语言文学专业,西北师范学院,中文系汉语言文学专业
"['第十八届中央候补委员', '十八届七中全会递补为中央委员', '十九届中央委员', '十九届中央政治局委员']","['中央政治局委员', '上海市委书记']",李强,http://www.people.com.cn/mediafile/pic/20171025/1/258143655530019589.jpg,"
	（中国共产党新闻网资料，2017年10月）",李强，男，汉族，1959年7月生，浙江瑞安人，1976年7月参加工作，1983年4月加入中国共产党，中央党校研究生学历，高级管理人员工商管理硕士学位。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608817.html,男,汉族,1959,7,59,1976.0,42.0,浙江瑞安,浙江,1983.0,研究生,中央党校,中央党校,
"['第十六届、十七届中央候补委员', '十八届、十九届中央委员', '十九届中央政治局委员']","['中央政治局委员', '天津市委书记']",李鸿忠,http://www.people.com.cn/mediafile/pic/20171025/17/10519451168180887873.jpg,"
	（中国共产党新闻网资料，2017年10月）",李鸿忠，男，汉族，1956年8月生，山东昌乐人，1975年8月参加工作，1976年12月加入中国共产党，吉林大学历史系历史学专业毕业，大学学历，经济师。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608818.html,男,汉族,1956,8,62,1975.0,43.0,山东昌乐,山东,1976.0,大学,吉林大学历史系历史学专业,吉林大学,历史系历史学专业
"['第十六届中央候补委员', '十七届、十八届、十九届中央委员', '十九届中央政治局委员']","['中央政治局委员', '国务委员、国务院党组成员', '中央外事工作领导小组办公室主任', '中央维护海洋权益工作领导小组办公室主任']",杨洁篪,http://www.people.com.cn/mediafile/pic/20171025/49/8748232567170118873.jpg,"
	（中国共产党新闻网资料，2017年10月）",杨洁篪，男，汉族，1950年5月生，上海市人，1968年9月参加工作，1971年12月加入中国共产党，南京大学历史学系世界史专业毕业，在职研究生学历，历史学博士学位。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608819.html,男,汉族,1950,5,68,1968.0,50.0,上海市,上海,1971.0,研究生,南京大学历史学系世界史专业,南京大学,历史学系世界史专业
"['中共第十九届中央委员', '十九届中央政治局委员、中央书记处书记中共第十八届中央纪委委员', '2014年1月增选为中央纪委常委、副书记', '十九届中央纪委委员、常委、副书记第十一届全国政协委员']","['中共十九届中央政治局委员、中央书记处书记', '中央纪律检查委员会副书记', '国家监察委员会主任']",杨晓渡,http://www.people.com.cn/mediafile/pic/20171025/38/10046693029029969522.jpg,"
	（中国共产党新闻网资料，2018年3月）",杨晓渡，男，汉族，1953年10月生，上海市人，1970年5月参加工作，1973年9月加入中国共产党，中央党校研究生学历。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608821.html,男,汉族,1953,10,65,1970.0,48.0,上海市,上海,1973.0,研究生,中央党校,中央党校,
"['中共第十七届、十八届、十九届中央委员', '十九届中央政治局委员十八届一中全会任中共中央军事委员会委员第十二届全国人大第一次会议任命为中华人民共和国中央军事委员会委员十九届一中全会任中共中央军事委员会副主席第十三届全国人大第一次会议任命为中华人民共和国中央军事委员会副主席']","['中共十九届中央政治局委员', '中共中央军事委员会副主席', '中华人民共和国中央军事委员会副主席', '上将军衔']",张又侠,http://www.people.com.cn/mediafile/pic/20171025/62/7652773183701753338.jpg,"
	（中国共产党新闻网资料，2018年3月）",张又侠，男，汉族，1950年7月生，陕西渭南人，1968年12月入伍，1969年5月加入中国共产党，军事学院基本系毕业，大专学历。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608822.html,男,汉族,1950,7,68,,,陕西渭南,陕西,1969.0,大专,军事学院基本系,军事学院,基本系
"['第十八届、十九届中央委员', '十九届中央政治局委员、中央书记处书记第十六届、十七届中央纪委委员']",['中央政治局委员、中央书记处书记、中央组织部部长、中央党校校长（兼任国家行政学院院长）'],陈希,http://www.people.com.cn/mediafile/pic/20171025/31/14927211605533501287.jpg,"
	（中国共产党新闻网资料，2018年4月）",陈希，男，汉族，1953年9月生，福建莆田人，1970年12月参加工作，1978年11月加入中国共产党，清华大学化学与化学工程系催化动力学专业毕业，研究生学历，工学硕士学位，研究员。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608823.html,男,汉族,1953,9,65,1970.0,48.0,福建莆田,福建,1978.0,研究生,清华大学化学与化学工程系催化动力学专业,清华大学,化学与化学工程系催化动力学专业
"['第十七届中央候补委员', '十八届、十九届中央委员', '十九届中央政治局委员']","['中央政治局委员', '新疆维吾尔自治区党委书记', '新疆生产建设兵团第一政委']",陈全国,http://www.people.com.cn/mediafile/pic/20171025/40/614973277187973948.jpg,"
	（中国共产党新闻网资料，2017年10月）",陈全国，男，汉族，1955年11月生，河南平舆人，1973年12月参加工作，1976年2月加入中国共产党，武汉理工大学管理学院管理科学与工程专业毕业，在职研究生学历，管理学博士学位。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608824.html,男,汉族,1955,11,63,1973.0,45.0,河南平舆,河南,1976.0,研究生,武汉理工大学管理学院管理科学与工程专业,武汉理工大学,管理学院管理科学与工程专业
"['第十七届中央候补委员', '十八届、十九届中央委员', '十九届中央政治局委员']","['中央政治局委员', '重庆市委书记']",陈敏尔,http://www.people.com.cn/mediafile/pic/20171025/96/5349205753457192724.jpg,"
	（中国共产党新闻网资料，2017年10月）",陈敏尔，男，汉族，1960年9月生，浙江诸暨人，1981年8月参加工作，1982年9月加入中国共产党，中央党校研究生学历。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608825.html,男,汉族,1960,9,58,1981.0,37.0,浙江诸暨,浙江,1982.0,研究生,中央党校,中央党校,
"['中共第十七届、十八届、十九届中央委员', '十八届、十九届中央政治局委员']","['中共十九届中央政治局委员', '国务院副总理、党组成员']",胡春华,http://www.people.com.cn/mediafile/pic/20171025/85/3440562402896656653.jpg,"
	（中国共产党新闻网资料，2018年3月）",胡春华，男，汉族，1963年4月生，湖北五峰人，1983年8月参加工作，1983年4月加入中国共产党，北京大学中文系毕业，大学学历。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608827.html,男,汉族,1963,4,55,1983.0,35.0,湖北五峰,湖北,1983.0,大学,北京大学中文系,北京大学,中文系
"['第十六届、十七届中央候补委员', '十八届、十九届中央委员', '十九届中央政治局委员、中央书记处书记']","['中央政治局委员、中央书记处书记', '国务委员、国务院党组成员', '中央政法委员会书记', '武装警察部队第一政委、党委第一书记', '总警监']",郭声琨,http://www.people.com.cn/mediafile/pic/20171025/42/10655962508126948506.jpg,"
	（中国共产党新闻网资料，2017年11月）",郭声琨，男，汉族，1954年10月生，江西兴国人，1973年8月参加工作，1974年12月加入中国共产党，北京科技大学管理科学与工程专业毕业，在职研究生学历，管理学博士学位，教授级高级工程师。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608828.html,男,汉族,1954,10,64,1973.0,45.0,江西兴国,江西,1974.0,研究生,北京科技大学管理科学与工程专业,北京科技大学,管理科学与工程专业
"['第十八届中央候补委员', '十九届中央委员', '十九届中央政治局委员、中央书记处书记']","['中央政治局委员、中央书记处书记', '中央宣传部部长', '中央精神文明建设指导委员会办公室主任']",黄坤明,http://www.people.com.cn/mediafile/pic/20171025/36/12933594735586694688.jpg,"
	（中国共产党新闻网资料，2017年10月）",黄坤明，男，汉族，1956年11月生，福建上杭人，1974年12月参加工作，1976年10月加入中国共产党，清华大学公共管理学院公共管理专业毕业，在职研究生学历，管理学博士学位。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608829.html,男,汉族,1956,11,62,1974.0,44.0,福建上杭,福建,1976.0,研究生,清华大学公共管理学院公共管理专业,清华大学,公共管理学院公共管理专业
"['第十九届中央委员', '十九届中央政治局委员']","['中央政治局委员', '北京市委书记', '北京2022年冬奥会和冬残奥会组织委员会主席、党组书记']",蔡奇,http://www.people.com.cn/mediafile/pic/20171025/61/5375049972083639385.jpg,"
	（中国共产党新闻网资料，2017年10月）",蔡奇，男，汉族，1955年12月生，福建尤溪人，1973年3月参加工作，1975年8月加入中国共产党，福建师范大学经济法律学院政治经济学专业毕业，在职研究生学历，经济学博士学位。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608831.html,男,汉族,1955,12,63,1973.0,45.0,福建尤溪,福建,1975.0,研究生,福建师范大学经济法律学院政治经济学专业,福建师范大学,经济法律学院政治经济学专业
"['第十七届中央候补委员', '十八届、十九届中央委员', '十九届中央书记处书记']",['中央书记处书记、中央统战部部长'],尤权,http://www.people.com.cn/mediafile/pic/20171025/2/16131099094824119662.jpg,"
	（中国共产党新闻网资料，2017年11月）",尤权，男，汉族，1954年1月生，河北卢龙人，1969年9月参加工作，1973年3月加入中国共产党，中国人民大学计划经济系国民经济计划专业毕业，研究生学历，经济学硕士学位。,http://cpc.people.com.cn/n1/2017/1025/c414940-29608832.html,男,汉族,1954,1,64,1969.0,49.0,河北卢龙,河北,1973.0,研究生,中国人民大学计划经济系国民经济计划专业,中国人民大学,计划经济系国民经济计划专业
"['中共第十六届中央候补委员', '十七届、十八届、十九届中央委员第十三届全国人大常委会副委员长']","['中共十九届中央委员', '十三届全国人大常委会副委员长']",曹建明,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p44_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1955年9月生，江苏南通人，1972年12月参加工作，1973年12月加入中国共产党，华东政法学院国际法系国际法专业毕业，研究生学历，法学硕士学位，教授。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-2.html,男,汉族,1955,9,63,1972.0,46.0,江苏南通,江苏,1973.0,研究生,华东政法学院国际法系国际法专业,华东政法学院,国际法系国际法专业
"['中共第十六届、十七届、十八届、十九届中央委员', '十八届中央政治局委员第十三届全国人大常委会副委员长']","['中共十九届中央委员', '十三届全国人大常委会副委员长']",张春贤,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p43_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1953年5月生，河南禹州人，1970年12月参加工作，1973年11月加入中国共产党，哈尔滨工业大学管理科学与工程专业毕业，在职研究生学历，管理学硕士学位，高级工程师。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-3.html,男,汉族,1953,5,65,1970.0,48.0,河南禹州,河南,1973.0,研究生,哈尔滨工业大学管理科学与工程专业,哈尔滨工业大学,管理科学与工程专业
"['中共第十五届、十六届中央候补委员', '十七届、十八届、十九届中央委员第十二届、十三届全国人大常委会副委员长']","['中共十九届中央委员', '十三届全国人大常委会副委员长', '中华全国妇女联合会主席']",沈跃跃,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p42_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,女，汉族，1957年1月生，浙江宁波人，1977年5月参加工作，1981年9月加入中国共产党，中央党校研究生学历。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-4.html,女,汉族,1957,1,61,1977.0,41.0,浙江宁波,浙江,1981.0,研究生,中央党校,中央党校,
"['中共第十六届中央候补委员', '十七届、十八届、十九届中央委员第十二届、十三届全国人大常委会副委员长']","['中共十九届中央委员', '十三届全国人大常委会副委员长']",吉炳轩,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p41_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1951年11月生，河南孟津人，1978年10月参加工作，1980年4月加入中国共产党，郑州大学中文系毕业，大学普通班学历。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-5.html,男,汉族,1951,11,67,1978.0,40.0,河南孟津,河南,1980.0,大学,郑州大学中文系,郑州大学,中文系
['中共第十九届中央委员第十二届、十三届全国人大常委会副委员长'],"['中共十九届中央委员', '十三届全国人大常委会副委员长']",艾力更·依明巴海,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p40_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，维吾尔族，1953年9月生，新疆英吉沙人，1971年3月参加工作，1980年6月加入中国共产党，西北轻工学院轻工二系硅酸盐专业毕业，大学普通班学历。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-6.html,男,维吾尔族,1953,9,65,1971.0,47.0,新疆英吉沙,新疆,1980.0,大学,西北轻工学院轻工二系硅酸盐专业,西北轻工学院,轻工二系硅酸盐专业
"['第十二届、十三届全国人大常委会副委员长第九届全国政协委员', '十届全国政协常务委员', '十一届全国政协常务委员、社会和法制委员会副主任']","['十三届全国人大常委会副委员长', '民革中央主席']",万鄂湘,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p39_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1956年5月生，湖北公安人，民革成员，1974年3月参加工作，武汉大学国际法研究所国际法专业毕业，在职研究生学历，法学博士学位，教授。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-7.html,男,汉族,1956,5,62,1974.0,44.0,湖北公安,湖北,,研究生,武汉大学国际法研究所国际法专业,武汉大学,国际法研究所国际法专业
['第十二届、十三届全国人大常委会副委员长第十届、十一届全国政协委员'],"['十三届全国人大常委会副委员长', '农工党中央主席', '中国红十字会会长', '欧美同学会（中国留学人员联谊会）会长']",陈竺,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p38_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1953年8月生，江苏镇江人，农工党成员，1970年4月参加工作，法国巴黎第七大学血液学研究所肿瘤发病基础专业毕业，研究生学历，科学博士学位，教授，研究员，中国科学院院士。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-8.html,男,汉族,1953,8,65,1970.0,48.0,江苏镇江,江苏,,研究生,法国巴黎第七大学血液学研究所肿瘤发病基础专业,法国巴黎第七大学,血液学研究所肿瘤发病基础专业
"['中共第十八届中央委员第十二届全国人大常委会委员、全国人大民族委员会副主任委员', '十三届全国人大常委会副委员长']",['十三届全国人大常委会副委员长'],白玛赤林,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p36_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，藏族，1951年10月生，西藏丁青人，1969年12月参加工作，1970年10月加入中国共产党，中央党校研究生学历。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-10.html,男,藏族,1951,10,67,1969.0,49.0,西藏丁青,西藏,1970.0,研究生,中央党校,中央党校,
"['第十一届、十二届全国人大常委会委员、全国人大教育科学文化卫生委员会委员', '十三届全国人大常委会副委员长第十届全国政协委员']","['十三届全国人大常委会副委员长', '民盟中央主席', '中国科学院副院长', '中国科学院大学校长']",丁仲礼,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p35_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1957年1月生，浙江嵊州人，民盟成员，1988年8月参加工作，中国科学院地质研究所古生物学及地层学专业毕业，研究生学历，理学博士学位，研究员，中国科学院院士。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-11.html,男,汉族,1957,1,61,1988.0,30.0,浙江嵊州,浙江,,研究生,中国科学院地质研究所古生物学及地层学专业,中国科学院地质研究所,古生物学及地层学专业
"['第十三届全国人大常委会副委员长第九届、十届、十一届全国政协委员', '十二届全国政协常务委员']","['十三届全国人大常委会副委员长', '民建中央主席']",郝明金,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p34_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1956年12月生，山东嘉祥人，民建成员，1971年12月参加工作，中国政法大学法学院诉讼法学专业毕业，研究生学历，法学博士学位，教授。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-12.html,男,汉族,1956,12,62,1971.0,47.0,山东嘉祥,山东,,研究生,中国政法大学法学院诉讼法学专业,中国政法大学,法学院诉讼法学专业
"['第十届全国人大代表', '十三届全国人大常委会副委员长第十一届、十二届全国政协常务委员']","['十三届全国人大常委会副委员长', '民进中央主席']",蔡达峰,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p33_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1960年6月生，浙江宁波人，民进成员，1985年7月参加工作，同济大学建筑系建筑历史与理论专业毕业，研究生学历，工学博士学位，教授。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-13.html,男,汉族,1960,6,58,1985.0,33.0,浙江宁波,浙江,,研究生,同济大学建筑系建筑历史与理论专业,同济大学,建筑系建筑历史与理论专业
"['第十三届全国人大常委会副委员长第十届全国政协委员', '十一届、十二届全国政协常务委员']","['十三届全国人大常委会副委员长', '九三学社中央主席']",武维华,http://paper.people.com.cn/rmrb/res/2018-03/18/03/rmrb2018031803p32_b.jpg,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1956年9月生，山西孝义人，九三学社成员，1974年12月参加工作，美国新泽西州立大学植物科学系植物科学专业毕业，研究生学历，理学博士学位，教授，中国科学院院士。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-14.html,男,汉族,1956,9,62,1974.0,44.0,山西孝义,山西,,研究生,美国新泽西州立大学植物科学系植物科学专业,美国新泽西州立大学,植物科学系植物科学专业
['中共第十九届中央委员'],"['中共十九届中央委员', '十三届全国人大常委会秘书长', '人民日报社社长']",杨振武,,2018年03月18日08:31    来源：人民网－人民日报,男，汉族，1955年5月生，河北新乐人，1978年9月参加工作，1975年4月加入中国共产党，中央党校研究生学历，高级记者。,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-15.html,男,汉族,1955,5,63,1978.0,40.0,河北新乐,河北,1975.0,研究生,中央党校,中央党校,
