group,link,name,province,title
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18716.htm,张世珍,甘肃,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage16398.htm,李斌,甘肃,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18717.htm,李沛兴,甘肃,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18718.htm,何伟,甘肃,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18673.htm,余建,甘肃,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage6635.htm,李荣灿,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage18636.htm,李忠科,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage18745.htm,王建太,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16629.htm,苏君,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4789.htm,王锐,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4784.htm,柳鹏,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4790.htm,杨维俊,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16770.htm,郭承录,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage18637.htm,吴仰东,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage10220.htm,贠建民,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4802.htm,唐晓明,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4803.htm,孙雪涛,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12973.htm,杨元忠,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage9735.htm,俞成辉,甘肃,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage18608.htm,张伟文,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16645.htm,丁巨胜,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16020.htm,杨建武,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage14844.htm,张旭晨,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16769.htm,王军,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage15622.htm,李明生,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4794.htm,黄泽元,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage15591.htm,王奋彦,甘肃,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage18663.htm,张安疆,甘肃,市（区、州）长行署专员
